<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.03	12:45:00	126025	126090	126000	126070	24511	82532	5
2024.12.03	12:50:00	126070	126085	125955	126030	25335	85441	5
2024.12.03	12:55:00	126030	126070	125955	125990	27068	98930	5
2024.12.03	13:00:00	125990	126090	125985	126020	29865	103413	5
2024.12.03	13:05:00	126025	126030	125920	125965	26681	83883	5
2024.12.03	13:10:00	125960	126035	125930	126025	21536	72488	5
2024.12.03	13:15:00	126025	126095	126015	126070	20442	68532	5
2024.12.03	13:20:00	126075	126075	125950	125975	24675	84755	5
2024.12.03	13:25:00	125975	126070	125945	126065	20842	75950	5
2024.12.03	13:30:00	126065	126295	126055	126290	45510	163836	5
2024.12.03	13:35:00	126295	126305	126125	126140	41050	141908	5
2024.12.03	13:40:00	126135	126235	126120	126160	34194	115969	5
2024.12.03	13:45:00	126160	126265	126110	126245	30208	99774	5
2024.12.03	13:50:00	126245	126385	126215	126360	38055	132797	5
2024.12.03	13:55:00	126360	126420	126305	126310	36642	127007	5
2024.12.03	14:00:00	126310	126400	126310	126365	23602	79418	5
2024.12.03	14:05:00	126365	126365	126250	126310	31563	108548	5
2024.12.03	14:10:00	126305	126370	126270	126365	22811	72210	5
2024.12.03	14:15:00	126370	126465	126350	126435	35789	120910	5
2024.12.03	14:20:00	126440	126480	126355	126450	31626	108861	5
2024.12.03	14:25:00	126455	126485	126415	126465	20547	73318	5
2024.12.03	14:30:00	126465	126485	126400	126440	20389	80095	5
2024.12.03	14:35:00	126440	126480	126305	126305	41602	145625	5
2024.12.03	14:40:00	126310	126330	126215	126305	40209	142878	5
2024.12.03	14:45:00	126300	126340	126255	126325	21603	72518	5
2024.12.03	14:50:00	126325	126395	126285	126345	23284	79042	5
2024.12.03	14:55:00	126340	126370	126300	126330	19116	65102	5
2024.12.03	15:00:00	126330	126335	126190	126205	30038	112361	5
2024.12.03	15:05:00	126200	126235	126170	126225	20575	72834	5
2024.12.03	15:10:00	126225	126285	126200	126255	21893	86299	5
2024.12.03	15:15:00	126250	126265	126200	126235	15673	59742	5
2024.12.03	15:20:00	126235	126305	126220	126295	16424	57132	5
2024.12.03	15:25:00	126295	126305	126235	126285	14579	49779	5
2024.12.03	15:30:00	126280	126300	126150	126170	24740	91116	5
