<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.07	11:45:00	119055	119065	117150	117455	362585	1156921	5
2022.11.07	12:00:00	117450	117930	117370	117850	163684	472873	5
2022.11.07	12:15:00	117855	117900	117225	117360	168806	462468	5
2022.11.07	12:30:00	117365	117525	116860	117185	203213	557505	5
2022.11.07	12:45:00	117185	117265	116905	117100	122343	342320	5
2022.11.07	13:00:00	117100	117280	116980	117230	106610	303147	5
2022.11.07	13:15:00	117225	117450	117205	117415	103191	301479	5
2022.11.07	13:30:00	117415	117605	117115	117265	137845	424335	5
2022.11.07	13:45:00	117265	117460	117150	117330	102877	320872	5
2022.11.07	14:00:00	117330	117595	117210	117470	116748	368937	5
2022.11.07	14:15:00	117475	117510	117280	117475	104755	329895	5
2022.11.07	14:30:00	117480	117490	116910	117055	128510	415986	5
2022.11.07	14:45:00	117050	117185	116970	117080	114964	348559	5
2022.11.07	15:00:00	117075	117290	116995	117265	105429	320206	5
2022.11.07	15:15:00	117265	117575	117145	117525	124219	386967	5
2022.11.07	15:30:00	117525	117755	117215	117380	135486	415592	5
2022.11.07	15:45:00	117380	117450	117120	117260	104120	322062	5
2022.11.07	16:00:00	117255	117430	117210	117310	100976	319494	5
2022.11.07	16:15:00	117310	117360	117100	117255	108693	344754	5
2022.11.07	16:30:00	117260	117310	116910	116980	110217	352902	5
2022.11.07	16:45:00	116975	117140	116580	116735	147659	468814	5
2022.11.07	17:00:00	116740	116945	116595	116685	100725	295879	5
2022.11.07	17:15:00	116680	116820	116615	116745	77925	233240	5
2022.11.07	17:30:00	116745	116840	116560	116705	75117	231866	5
2022.11.07	17:45:00	116700	116860	116370	116550	75681	235791	5
2022.11.07	18:00:00	116550	116695	116465	116615	42274	120624	5
2022.11.07	18:15:00	116620	116735	116480	116680	18316	58870	5
2022.11.08	09:00:00	116740	116750	115675	115740	275970	705146	5
2022.11.08	09:15:00	115740	115865	115220	115535	240326	638133	5
2022.11.08	09:30:00	115530	115675	115410	115415	154457	400353	5
2022.11.08	09:45:00	115415	115880	115350	115830	188353	500369	5
2022.11.08	10:00:00	115830	116410	115485	116340	357087	969013	5
2022.11.08	10:15:00	116340	117100	116330	116720	291655	832969	5
2022.11.08	10:30:00	116725	116980	116470	116740	211441	557102	5
2022.11.08	10:45:00	116745	117035	116635	117005	146748	402880	5
2022.11.08	11:00:00	117005	117220	116855	117175	204391	592908	5
2022.11.08	11:15:00	117180	117455	117060	117190	198600	571759	5
2022.11.08	11:30:00	117185	117420	116795	116915	235245	688411	5
2022.11.08	11:45:00	116915	117120	116680	116740	208867	625245	5
2022.11.08	12:00:00	116740	117245	116620	117045	214270	652660	5
2022.11.08	12:15:00	117045	117340	116905	117045	169670	503901	5
2022.11.08	12:30:00	117050	117440	117015	117375	167283	517215	5
2022.11.08	12:45:00	117375	117890	117330	117710	187704	607118	5
2022.11.08	13:00:00	117710	118165	117590	117950	139452	458149	5
2022.11.08	13:15:00	117955	118590	117905	118175	160454	521522	5
2022.11.08	13:30:00	118175	118315	118025	118300	93634	276721	5
2022.11.08	13:45:00	118305	118485	118230	118385	116521	381637	5
2022.11.08	14:00:00	118385	118460	117750	117930	141824	469159	5
2022.11.08	14:15:00	117930	118100	117795	117840	104668	321855	5
2022.11.08	14:30:00	117845	118030	117735	117980	95696	299092	5
2022.11.08	14:45:00	117980	118025	117820	117930	74064	236283	5
2022.11.08	15:00:00	117925	118055	117810	117890	88427	283830	5
2022.11.08	15:15:00	117885	117955	117105	117240	161344	536451	5
2022.11.08	15:30:00	117240	117875	117170	117815	134624	441745	5
2022.11.08	15:45:00	117815	118030	117605	117715	146856	494412	5
2022.11.08	16:00:00	117710	117870	117365	117780	170415	594225	5
2022.11.08	16:15:00	117775	117935	116835	116935	202658	682796	5
2022.11.08	16:30:00	116940	117395	116650	117345	182082	540929	5
2022.11.08	16:45:00	117345	117615	117205	117365	133925	377438	5
2022.11.08	17:00:00	117370	117600	117245	117545	110479	313344	5
2022.11.08	17:15:00	117545	117905	117485	117835	100558	299401	5
2022.11.08	17:30:00	117840	117955	117545	117590	95126	285528	5
2022.11.08	17:45:00	117590	117765	117170	117265	104471	325903	5
2022.11.08	18:00:00	117265	117465	117160	117340	61265	162961	5
2022.11.08	18:15:00	117335	117855	117330	117855	30057	83984	5
2022.11.09	09:00:00	116900	116900	116205	116575	255146	582773	5
2022.11.09	09:15:00	116570	116650	116130	116530	211163	542775	5
2022.11.09	09:30:00	116530	116670	116355	116400	146542	384290	5
2022.11.09	09:45:00	116400	116720	116285	116490	177320	469174	5
2022.11.09	10:00:00	116485	116765	116015	116555	258417	674504	5
2022.11.09	10:15:00	116550	117015	116520	116985	281161	707496	5
2022.11.09	10:30:00	116985	117055	116415	116915	250492	664031	5
2022.11.09	10:45:00	116910	117000	116545	116770	168551	440524	5
2022.11.09	11:00:00	116770	117080	116615	117015	187472	507833	5
2022.11.09	11:15:00	117005	117225	116750	116860	198040	540967	5
2022.11.09	11:30:00	116860	117090	116500	116845	261923	732318	5
2022.11.09	11:45:00	116845	117070	116690	116890	175947	488611	5
2022.11.09	12:00:00	116890	117425	116865	117095	226904	633144	5
2022.11.09	12:15:00	117100	117345	117050	117270	130286	361350	5
2022.11.09	12:30:00	117275	117335	116870	117000	165812	485961	5
2022.11.09	12:45:00	116995	117090	116460	116630	153673	453214	5
2022.11.09	13:00:00	116630	116740	116415	116680	109227	317526	5
2022.11.09	13:15:00	116675	117075	116665	116975	125961	387817	5
2022.11.09	13:30:00	116975	117075	116825	117025	99637	295672	5
2022.11.09	13:45:00	117025	117060	116720	116795	91937	278818	5
2022.11.09	14:00:00	116795	116950	116645	116685	107574	344143	5
2022.11.09	14:15:00	116685	116715	116480	116495	91767	291304	5
2022.11.09	14:30:00	116500	116650	116055	116075	143392	467195	5
2022.11.09	14:45:00	116070	116155	115855	116130	125060	403500	5
2022.11.09	15:00:00	116130	116210	115725	115865	186614	558575	5
2022.11.09	15:15:00	115865	115915	115545	115550	116590	355137	5
2022.11.09	15:30:00	115550	115605	115310	115500	136732	462438	5
2022.11.09	15:45:00	115505	115595	115135	115330	129294	430034	5
2022.11.09	16:00:00	115325	115400	115175	115385	100038	351042	5
2022.11.09	16:15:00	115390	115465	115175	115215	92969	304321	5
2022.11.09	16:30:00	115215	115230	114615	114690	148363	496709	5
2022.11.09	16:45:00	114695	114765	114360	114490	127052	420871	5
2022.11.09	17:00:00	114485	115075	114445	114890	128968	418489	5
2022.11.09	17:15:00	114890	114970	114670	114890	89134	295434	5
2022.11.09	17:30:00	114890	115020	114300	114390	121677	433856	5
2022.11.09	17:45:00	114390	114850	114255	114795	114646	361851	5
2022.11.09	18:00:00	114795	114970	114615	114875	49073	184086	5
2022.11.09	18:15:00	114875	115095	114760	114855	21439	74701	5
2022.11.10	09:00:00	114155	114155	111685	112705	376844	763177	5
2022.11.10	09:15:00	112705	112960	112425	112555	186699	412978	5
2022.11.10	09:30:00	112555	112630	111475	111660	289991	691574	5
2022.11.10	09:45:00	111655	112045	111630	112020	178888	417884	5
2022.11.10	10:00:00	112015	112330	111785	112305	215202	500052	5
2022.11.10	10:15:00	112310	112450	111920	112110	238867	529555	5
2022.11.10	10:30:00	112105	113745	111520	113180	350516	812229	5
2022.11.10	10:45:00	113175	113230	112620	112920	250950	597242	5
2022.11.10	11:00:00	112920	113530	112205	112500	295055	731888	5
2022.11.10	11:15:00	112505	112610	111895	112395	265968	634937	5
2022.11.10	11:30:00	112400	112480	110795	110915	357928	932872	5
2022.11.10	11:45:00	110915	111845	110655	111510	275261	731417	5
2022.11.10	12:00:00	111505	111780	111220	111225	184781	463693	5
2022.11.10	12:15:00	111230	111885	110905	111845	198296	461490	5
2022.11.10	12:30:00	111840	112180	111530	112095	163144	410360	5
2022.11.10	12:45:00	112095	112220	111710	112135	134455	356331	5
2022.11.10	13:00:00	112135	112245	111780	112020	139045	376762	5
2022.11.10	13:15:00	112025	112030	111385	111775	153984	406035	5
2022.11.10	13:30:00	111780	112135	111755	111770	125135	314947	5
2022.11.10	13:45:00	111770	112080	111725	111990	109323	269095	5
2022.11.10	14:00:00	111990	112055	111625	111765	139180	360061	5
2022.11.10	14:15:00	111765	111815	111055	111130	161774	452247	5
2022.11.10	14:30:00	111130	111170	110330	110880	193904	541631	5
2022.11.10	14:45:00	110875	110960	110415	110870	142745	370981	5
2022.11.10	15:00:00	110870	111200	110790	111060	128674	341631	5
2022.11.10	15:15:00	111055	111160	110805	110940	110935	296789	5
2022.11.10	15:30:00	110940	111015	110645	110690	144687	413224	5
2022.11.10	15:45:00	110685	110710	109795	110070	238053	676903	5
2022.11.10	16:00:00	110080	110225	109700	109960	148173	391187	5
2022.11.10	16:15:00	109960	110325	109530	110300	175403	490933	5
2022.11.10	16:30:00	110300	110550	110060	110100	129523	367935	5
2022.11.10	16:45:00	110095	110460	109875	110125	119334	323261	5
2022.11.10	17:00:00	110125	110605	109805	110535	131251	377431	5
2022.11.10	17:15:00	110530	111055	110270	110465	152096	453483	5
2022.11.10	17:30:00	110465	110655	110110	110455	113292	329942	5
2022.11.10	17:45:00	110455	110645	110350	110535	73544	215956	5
2022.11.10	18:00:00	110540	111100	110430	111015	68204	218915	5
2022.11.10	18:15:00	111010	111060	110760	111060	22510	68673	5
2022.11.11	09:00:00	111985	111985	111160	111270	196315	479594	5
2022.11.11	09:15:00	111270	111315	110255	110495	272835	630316	5
2022.11.11	09:30:00	110490	110595	110180	110475	203683	468415	5
2022.11.11	09:45:00	110475	110735	110175	110635	210572	483656	5
2022.11.11	10:00:00	110635	111365	110325	110675	357218	825063	5
2022.11.11	10:15:00	110675	112555	110470	112195	439946	1102099	5
2022.11.11	10:30:00	112195	112445	111615	112035	299895	706867	5
2022.11.11	10:45:00	112030	112230	111815	112030	219804	529142	5
2022.11.11	11:00:00	112030	112330	111775	111935	201062	494552	5
2022.11.11	11:15:00	111930	111945	111210	111245	231403	612178	5
2022.11.11	11:30:00	111245	111845	111220	111575	269187	687000	5
2022.11.11	11:45:00	111570	111955	111395	111830	194805	499260	5
2022.11.11	12:00:00	111825	112835	111570	112760	301981	753219	5
2022.11.11	12:15:00	112755	113865	112580	113845	229996	620566	5
2022.11.11	12:30:00	113840	113850	113300	113435	172526	439338	5
2022.11.11	12:45:00	113430	113690	113305	113470	124238	318151	5
2022.11.11	13:00:00	113470	113645	112905	113280	187341	491606	5
2022.11.11	13:15:00	113275	113290	112800	112855	120844	321307	5
2022.11.11	13:30:00	112850	113495	112785	113085	153212	401363	5
2022.11.11	13:45:00	113085	113340	113035	113245	99672	276819	5
2022.11.11	14:00:00	113250	113310	113000	113070	109707	334933	5
2022.11.11	14:15:00	113070	113415	113035	113390	112721	344309	5
2022.11.11	14:30:00	113390	113590	113185	113260	125248	387655	5
2022.11.11	14:45:00	113255	113305	112735	112760	135247	419924	5
2022.11.11	15:00:00	112765	112975	112565	112580	134635	416880	5
2022.11.11	15:15:00	112580	113180	112550	113105	132043	411656	5
2022.11.11	15:30:00	113100	113570	112805	113370	157154	521051	5
2022.11.11	15:45:00	113370	114265	113185	113840	235560	663123	5
2022.11.11	16:00:00	113840	114035	113730	113945	123769	324668	5
