<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.11.01	114530	116905	114220	116905	5526831	19604556	5
2023.11.03	117765	119875	117715	119785	4579069	16556260	5
2023.11.06	119650	120125	119290	119860	4336961	16071165	5
2023.11.07	119350	120875	118995	120445	4582263	17359528	5
2023.11.08	120210	121240	119665	120355	4798574	18560944	5
2023.11.09	120545	121465	119525	120295	5198184	19897899	5
2023.11.10	120545	122010	120310	121850	4540285	16495042	5
2023.11.13	121555	121660	120865	121615	4045251	15403370	5
2023.11.14	121575	124790	121550	124615	4370829	15513570	5
2023.11.16	124475	125830	124125	125830	4779619	17572742	5
2023.11.17	125835	126440	125465	125895	4168249	14846870	5
2023.11.20	126165	127115	125845	127100	3773003	13700890	5
2023.11.21	126790	126990	125870	126525	4294576	15725957	5
2023.11.22	126620	127730	126245	126855	4731220	17252696	5
2023.11.23	126600	127545	126390	127495	2765295	9646998	5
2023.11.24	127350	127360	126040	126340	3428915	12444093	5
2023.11.27	126095	126645	125485	126480	4189995	15239549	5
2023.11.28	126115	127525	125960	127200	4083025	15741785	5
2023.11.29	127400	127885	126465	126695	4029889	15919642	5
2023.11.30	127000	127965	126625	127815	4017501	15156871	5
2023.12.01	128090	128650	127070	128465	4347495	15748826	5
2023.12.04	127935	128195	127010	127310	3992914	14238413	5
2023.12.05	127100	127860	126780	127100	4845900	17622156	5
2023.12.06	127495	127880	125735	125735	4480112	16200051	5
2023.12.07	125935	126835	125755	126295	4188123	15447826	5
2023.12.08	126415	127495	125670	127240	4731228	17179789	5
2023.12.11	127125	127300	126565	127165	3787664	14751038	5
2023.12.12	127410	127590	126010	126525	3707376	13090538	5
2023.12.13	128690	132325	128315	132210	4507385	16447814	5
2023.12.14	132625	133350	132405	132910	4003439	14690348	5
2023.12.15	133100	133760	131930	132320	3744140	13354481	5
2023.12.18	132450	133495	132445	133115	3153119	11574534	5
2023.12.19	133150	134045	133010	133990	3413269	13178485	5
2023.12.20	133610	134325	132530	132730	4118613	15047630	5
