<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.20	10:00:00	133405	133845	133255	133625	792689	2555242	5
2025.03.20	11:00:00	133625	133720	133230	133675	566914	1831873	5
2025.03.20	12:00:00	133670	133955	132895	133070	477324	1673017	5
2025.03.20	13:00:00	133070	133420	133025	133220	317026	1069321	5
2025.03.20	14:00:00	133225	133380	133075	133125	241880	861240	5
2025.03.20	15:00:00	133125	133340	132940	132995	326318	1162686	5
2025.03.20	16:00:00	133000	133410	132960	133305	277175	972844	5
2025.03.20	17:00:00	133310	133340	133085	133150	168924	569819	5
2025.03.20	18:00:00	133145	133285	133050	133265	52345	131800	5
2025.03.21	09:00:00	132950	133115	132615	132935	713366	2077823	5
2025.03.21	10:00:00	132930	133425	132820	133265	764269	2447279	5
2025.03.21	11:00:00	133270	133735	133055	133250	626620	2075795	5
2025.03.21	12:00:00	133250	133285	132880	133075	326685	1107265	5
2025.03.21	13:00:00	133080	133365	132885	133280	296660	994420	5
2025.03.21	14:00:00	133280	133435	133160	133310	266668	922511	5
2025.03.21	15:00:00	133310	133345	132885	132915	265778	1007326	5
2025.03.21	16:00:00	132915	133550	132850	133480	324145	1164533	5
2025.03.21	17:00:00	133485	133585	133140	133260	183588	637650	5
2025.03.21	18:00:00	133265	133295	133110	133110	26976	83604	5
2025.03.24	09:00:00	133900	134145	132670	132865	744767	2163478	5
2025.03.24	10:00:00	132865	133270	132505	132970	817505	2546458	5
2025.03.24	11:00:00	132970	133415	132850	133165	549968	1826179	5
2025.03.24	12:00:00	133165	133185	132875	133025	320164	1120421	5
2025.03.24	13:00:00	133025	133035	132700	132860	260363	884817	5
2025.03.24	14:00:00	132860	132865	131940	132060	447427	1623362	5
2025.03.24	15:00:00	132055	132290	131925	132155	297839	1084794	5
2025.03.24	16:00:00	132150	132545	132045	132345	316920	1152613	5
2025.03.24	17:00:00	132345	132445	132155	132335	153573	540247	5
2025.03.24	18:00:00	132340	132540	132290	132470	61874	153592	5
2025.03.25	09:00:00	132200	132935	132090	132845	790080	2287308	5
2025.03.25	10:00:00	132850	133680	132560	133530	831771	2664283	5
2025.03.25	11:00:00	133530	134105	133465	134050	482041	1633351	5
2025.03.25	12:00:00	134050	134455	133995	134260	358655	1291288	5
2025.03.25	13:00:00	134260	134265	133410	133670	333568	1172530	5
2025.03.25	14:00:00	133670	133805	133220	133340	371380	1247812	5
2025.03.25	15:00:00	133340	133455	133145	133170	266161	950049	5
2025.03.25	16:00:00	133165	133250	132895	133075	302202	1086253	5
2025.03.25	17:00:00	133070	133400	132980	133345	159337	554778	5
2025.03.25	18:00:00	133350	133360	133055	133195	54944	140841	5
2025.03.26	09:00:00	133180	133755	133000	133755	677551	1924676	5
2025.03.26	10:00:00	133750	133795	133030	133435	963218	3045421	5
2025.03.26	11:00:00	133435	133835	133265	133290	521641	1767991	5
2025.03.26	12:00:00	133290	133580	133265	133370	357327	1306778	5
2025.03.26	13:00:00	133370	133875	133320	133390	322738	1150165	5
2025.03.26	14:00:00	133395	133415	133095	133315	328848	1207602	5
2025.03.26	15:00:00	133315	133550	133255	133305	269714	1016881	5
2025.03.26	16:00:00	133305	133640	133220	133540	241008	942033	5
2025.03.26	17:00:00	133540	133655	133215	133315	177380	645832	5
2025.03.26	18:00:00	133315	133335	132605	133200	61165	174712	5
2025.03.27	09:00:00	133680	134165	133605	133970	728744	2064933	5
2025.03.27	10:00:00	133970	134055	133240	133785	971067	3079589	5
2025.03.27	11:00:00	133790	134000	133530	133685	572183	1905089	5
2025.03.27	12:00:00	133685	134575	133665	134465	417761	1439380	5
2025.03.27	13:00:00	134460	134640	134285	134440	308468	1025893	5
2025.03.27	14:00:00	134445	134640	133725	133975	334405	1150408	5
2025.03.27	15:00:00	133980	134315	133920	134095	316642	1076739	5
2025.03.27	16:00:00	134095	134180	133660	133945	276788	957824	5
2025.03.27	17:00:00	133945	134080	133795	133880	141311	471382	5
2025.03.27	18:00:00	133880	133915	133765	133835	31303	93638	5
2025.03.28	09:00:00	133745	133750	132850	133440	698568	2114525	5
2025.03.28	10:00:00	133435	133800	133095	133265	817807	2663151	5
2025.03.28	11:00:00	133265	133270	132120	132185	673923	2366915	5
2025.03.28	12:00:00	132180	132505	132080	132400	325285	1172258	5
2025.03.28	13:00:00	132395	132530	132190	132200	228042	772166	5
2025.03.28	14:00:00	132205	132625	132030	132625	349433	1205796	5
2025.03.28	15:00:00	132625	133635	132615	132995	537086	2006829	5
2025.03.28	16:00:00	133000	133075	132765	132815	200349	708770	5
2025.03.28	17:00:00	132815	132820	132515	132690	156448	549820	5
2025.03.28	18:00:00	132690	132750	132610	132720	22419	67788	5
2025.03.31	09:00:00	131935	132170	131430	131680	661572	1820369	5
2025.03.31	10:00:00	131685	131790	130930	131365	865085	2705372	5
2025.03.31	11:00:00	131370	131650	131275	131450	534869	1732434	5
2025.03.31	12:00:00	131450	131455	130855	131030	368335	1253886	5
2025.03.31	13:00:00	131035	131175	130900	131045	257852	876141	5
2025.03.31	14:00:00	131045	131205	130805	131115	295348	1067563	5
2025.03.31	15:00:00	131110	131720	131100	131335	427647	1578411	5
2025.03.31	16:00:00	131330	131455	131080	131115	291879	1149106	5
2025.03.31	17:00:00	131115	131145	130870	131050	189282	691034	5
2025.03.31	18:00:00	131045	131070	130960	130960	32386	91278	5
2025.04.01	09:00:00	131130	131325	130865	131105	641814	1818987	5
2025.04.01	10:00:00	131100	131510	130625	131380	989798	3153906	5
2025.04.01	11:00:00	131380	132390	131120	132040	794299	2682945	5
2025.04.01	12:00:00	132035	132515	132035	132430	365331	1242295	5
2025.04.01	13:00:00	132430	132585	132045	132240	363110	1198419	5
2025.04.01	14:00:00	132235	132665	132185	132420	309648	1020344	5
